0 1 2
1032735309719580673 7 1050
1032726026865057793 5 712
1032725635888803841 87789 379614
1032372766240985089 9 366
1032372299540848642 0 8
1032351307099762688 0 6
1032346606971039745 120 0
1032313134650941440 32 2812
1032310288652152832 35516 153483
1032058232087437312 0 8
1032057068537212933 7144 55568
1032047702241148929 11 813
1032038386792648705 0 117
1032027763014868993 0 2
1032018527887220736 0 6
1031966047325356033 2 407
1031951621729734663 405 10231
1031951274202292225 6 867
1031950788178980866 11658 71164
1031905507165040640 4 48
1031696422813544448 7312 59498
1031666593942646790 0 81
1031631625296199680 0 9
1031617249289883649 17 1477
1031588593695948802 0 6
1031575693480656897 0 126
1031574738085322752 1 68
1031570115073138690 0 82
1031564144724594688 0 97
1031561686111723520 4 502
1031556656612749312 254 5510
1031350513584009216 14089 0
1031321085558644736 7 1345
1031320795774103553 13106 87800
1031243784753950720 70 2109
1030983151852695554 2 39
1030942805529649152 0 5
1030931660857110528 12451 0
1030928623849664512 0 11
1030924072174198784 0 73
1030920843134742528 0 57
1030919712878878722 0 65
1030888708822769664 4 311
1030887588553519104 0 11
1030865112842821633 144 2976
1030830175813087232 3 409
1030798259671969792 0 41
1030609898638372864 0 7
1030567331804708864 0 5
1030509710590525440 7 351
1030492702373294080 3 1218
1030492430070632448 3 59
1030489848778502146 0 15
1030489762895941635 13 1962
1030488154036424705 3 457
1030483378548744192 5035 38108
1030228705728184326 0 13
1030204962670866432 30 1679
1030151217354301445 0 4
1030133806177628161 0 9
1030092881577615361 0 16
1030079525412110336 0 11
1030065778484232192 9 281
1029928227027013633 3 46
1029887677657755648 10 1443
1029884540511301632 103755 358657
1029860303406809088 0 5
1029791529659977729 53 1074
1029773293279240192 8 526
1029772590817136645 0 9
1029767403545288706 16152 108481
1029741672723345408 0 1
1029550934408486912 83486 0
1029419918121418752 0 4
1029409621394513920 813 0
1029407112961646592 0 5
1029398456052396032 0 84
1029358069350916098 2 34
1029186934114078721 8 686
1029186067067490304 0 114
1029157506264838144 1 339
1029157072498253824 41974 206616
1029099007308652544 0 1
1029093178366984193 0 7
1029093085144330241 0 10
1029076351230377984 0 103
1029068398779617280 2 170
1029061852242817024 0 4
1029061723918135299 0 98
1029061626446659586 2 28
1029057997736165378 0 75
1029057542826196993 0 4
1029056713331236867 0 1
1029051498691473408 0 2
1029044767852781568 0 494
1029040622882246657 654 0
1029035012182695936 487 8742
1029008079998910466 0 14
1028778797401866240 13067 107262
1028741685805821952 0 58
1028728041206362112 0 74
1028668104526712832 0 3
1028655321634545664 181343 0
1028425137215995905 17 1376
1028412385353191426 0 357
1028410330416918528 6829 78663
1028404421540032512 0 3
1028403961047339008 0 1
1028403200489975808 0 0
1028400421222502400 0 0
1028398237235826688 0 0
1028397566193328130 0 0
1028395536905166848 0 0
1028395312560263168 0 0
1028394365083779073 0 0
1028393836999892992 0 0
1028392183286530048 0 0
1028390776969936897 0 0
1028390591493693441 0 0
1028388422065434624 0 0
1028387267931336704 1 0
1028387119662694400 0 0
1028386584012316673 0 0
